iter	Passed	Remaining
447	1140	1404
448	1142	1402
449	1145	1399
450	1147	1397
451	1150	1394
452	1152	1391
453	1155	1389
454	1157	1386
455	1160	1384
456	1162	1381
457	1165	1378
458	1167	1376
459	1170	1373
460	1172	1371
461	1176	1369
462	1180	1369
463	1185	1369
464	1189	1368
465	1193	1367
466	1196	1366
467	1200	1365
468	1204	1363
469	1207	1361
470	1211	1360
471	1214	1358
472	1217	1356
473	1219	1353
474	1222	1351
475	1225	1349
476	1229	1347
477	1231	1344
478	1234	1342
479	1237	1340
480	1240	1338
481	1243	1336
482	1246	1334
483	1249	1331
484	1251	1329
485	1254	1326
486	1257	1324
487	1259	1321
488	1262	1318
489	1264	1316
490	1267	1313
491	1269	1310
492	1271	1307
493	1275	1306
494	1279	1305
495	1283	1304
496	1287	1302
497	1291	1301
498	1294	1299
499	1297	1297
500	1299	1294
501	1302	1292
502	1305	1290
503	1308	1288
504	1311	1285
505	1313	1282
506	1315	1279
507	1318	1276
508	1320	1273
509	1323	1272
510	1326	1269
511	1328	1266
512	1331	1264
513	1334	1261
514	1337	1259
515	1340	1257
516	1342	1254
517	1345	1251
518	1347	1249
519	1350	1246
520	1353	1244
521	1355	1241
522	1358	1238
523	1360	1236
524	1363	1233
525	1365	1230
526	1368	1228
527	1371	1226
528	1374	1223
529	1376	1220
530	1378	1217
531	1381	1214
532	1383	1212
533	1386	1210
534	1389	1207
535	1392	1205
536	1394	1202
537	1397	1199
538	1399	1197
539	1403	1195
540	1406	1192
541	1408	1189
542	1410	1187
543	1412	1184
544	1415	1181
545	1418	1179
546	1422	1177
547	1424	1174
548	1426	1172
549	1429	1169
550	1431	1166
551	1435	1165
552	1438	1162
553	1440	1159
554	1443	1157
555	1445	1154
556	1448	1151
557	1451	1149
558	1454	1147
559	1456	1144
560	1459	1142
561	1462	1139
562	1464	1136
563	1468	1134
564	1470	1132
565	1473	1129
566	1475	1126
567	1478	1124
568	1480	1121
569	1483	1119
570	1486	1116
571	1488	1114
572	1490	1110
573	1493	1108
574	1495	1105
575	1498	1103
576	1500	1100
577	1503	1097
578	1505	1094
579	1508	1092
580	1510	1089
581	1513	1086
582	1515	1084
583	1517	1081
584	1519	1078
585	1522	1075
586	1524	1072
587	1527	1070
588	1529	1067
589	1532	1064
590	1534	1061
591	1536	1059
592	1539	1056
593	1542	1054
594	1544	1051
595	1547	1048
596	1549	1046
597	1552	1043
598	1554	1040
599	1557	1038
600	1559	1035
601	1562	1032
602	1564	1030
603	1567	1027
604	1569	1024
605	1571	1022
606	1574	1019
607	1576	1016
608	1579	1014
609	1581	1011
610	1584	1008
611	1586	1006
612	1589	1003
613	1591	1000
614	1594	998
615	1596	995
616	1599	992
617	1601	990
618	1604	987
619	1606	984
620	1609	982
621	1611	979
622	1614	976
623	1616	974
624	1619	971
625	1621	968
626	1624	966
627	1626	963
628	1629	960
629	1631	958
630	1634	955
631	1636	952
632	1638	950
633	1641	947
634	1643	944
635	1646	942
636	1649	939
637	1650	936
638	1653	933
639	1655	931
640	1658	928
641	1660	925
642	1663	923
643	1665	920
644	1667	918
645	1670	915
646	1672	912
647	1674	909
648	1676	906
649	1678	903
650	1680	901
651	1683	898
652	1685	895
653	1688	893
654	1690	890
655	1693	888
656	1695	885
657	1698	882
658	1700	880
659	1703	877
660	1705	874
661	1708	872
662	1710	869
663	1713	866
664	1715	864
665	1716	861
666	1719	858
667	1721	855
668	1724	853
669	1726	850
670	1729	847
671	1731	845
672	1733	842
673	1735	839
674	1738	837
675	1740	834
676	1743	831
677	1745	829
678	1748	826
679	1750	823
680	1753	821
681	1755	818
682	1758	816
683	1760	813
684	1763	810
685	1765	808
686	1768	805
687	1770	802
688	1773	800
689	1775	797
690	1778	795
691	1780	792
692	1783	790
693	1785	787
694	1788	784
695	1790	782
696	1793	779
697	1795	776
698	1798	774
699	1800	771
700	1803	769
701	1805	766
702	1808	764
703	1810	761
704	1813	758
705	1816	756
706	1818	753
707	1820	751
708	1823	748
709	1825	745
710	1828	743
711	1830	740
712	1833	737
713	1835	735
714	1838	732
715	1840	730
716	1843	727
717	1845	724
718	1848	722
719	1850	719
720	1853	717
721	1855	714
722	1858	711
723	1860	709
724	1863	706
725	1865	704
726	1868	701
727	1870	698
728	1873	696
729	1875	693
730	1878	691
731	1880	688
732	1883	685
733	1885	683
734	1888	680
735	1890	678
736	1893	675
737	1895	672
738	1898	670
739	1900	667
740	1902	665
741	1904	662
742	1907	659
743	1910	657
744	1912	654
745	1914	652
746	1917	649
747	1919	646
748	1922	644
749	1924	641
750	1927	639
751	1929	636
752	1932	633
753	1934	631
754	1937	628
755	1939	626
756	1942	623
757	1944	620
758	1947	618
759	1949	615
760	1952	613
761	1954	610
762	1957	607
763	1959	605
764	1962	602
765	1964	600
766	1967	597
767	1969	595
768	1972	592
769	1974	589
770	1977	587
771	1979	584
772	1982	582
773	1984	579
774	1987	576
775	1989	574
776	1991	571
777	1994	569
778	1996	566
779	1999	563
780	2001	561
781	2004	558
782	2006	556
783	2009	553
784	2011	550
785	2014	548
786	2016	545
787	2019	543
788	2021	540
789	2024	538
790	2026	535
791	2029	532
792	2031	530
793	2034	527
794	2036	525
795	2039	522
796	2041	520
797	2044	517
798	2046	514
799	2049	512
800	2051	509
801	2054	507
802	2056	504
803	2058	501
804	2061	499
805	2064	496
806	2066	494
807	2068	491
808	2071	489
809	2073	486
810	2076	483
811	2078	481
812	2081	478
813	2083	476
814	2086	473
815	2088	470
816	2091	468
817	2093	465
818	2096	463
819	2098	460
820	2101	458
821	2103	455
822	2105	452
823	2108	450
824	2110	447
825	2113	445
826	2115	442
827	2118	440
828	2121	437
829	2123	434
830	2126	432
831	2128	429
832	2131	427
833	2133	424
834	2136	422
835	2138	419
836	2141	417
837	2143	414
838	2146	411
839	2149	409
840	2151	406
841	2154	404
842	2156	401
843	2159	399
844	2161	396
845	2164	394
846	2166	391
847	2169	388
848	2171	386
849	2174	383
850	2176	381
851	2179	378
852	2182	376
853	2184	373
854	2186	370
855	2189	368
856	2191	365
857	2194	363
858	2196	360
859	2199	358
860	2201	355
861	2204	352
862	2206	350
863	2209	347
864	2211	345
865	2214	342
866	2216	340
867	2219	337
868	2221	334
869	2224	332
870	2226	329
871	2229	327
872	2231	324
873	2234	322
874	2236	319
875	2239	316
876	2241	314
877	2244	311
878	2246	309
879	2248	306
880	2251	304
881	2253	301
882	2256	298
883	2258	296
884	2261	293
885	2263	291
886	2266	288
887	2268	286
888	2271	283
889	2273	281
890	2276	278
891	2278	275
892	2281	273
893	2283	270
894	2286	268
895	2288	265
896	2291	263
897	2293	260
898	2296	257
899	2298	255
900	2301	252
901	2303	250
902	2306	247
903	2308	245
904	2311	242
905	2313	240
906	2315	237
907	2318	234
908	2320	232
909	2323	229
910	2325	227
911	2328	224
912	2331	222
913	2333	219
914	2336	217
915	2338	214
916	2341	211
917	2343	209
918	2346	206
919	2348	204
920	2350	201
921	2353	199
922	2355	196
923	2358	193
924	2360	191
925	2363	188
926	2365	186
927	2368	183
928	2370	181
929	2373	178
930	2375	176
931	2378	173
932	2380	170
933	2383	168
934	2385	165
935	2387	163
936	2390	160
937	2392	158
938	2395	155
939	2397	153
940	2400	150
941	2402	147
942	2405	145
943	2407	142
944	2410	140
945	2412	137
946	2415	135
947	2417	132
948	2420	130
949	2422	127
950	2424	124
951	2427	122
952	2429	119
953	2432	117
954	2434	114
955	2437	112
956	2439	109
957	2442	107
958	2444	104
959	2447	101
960	2449	99
961	2451	96
962	2454	94
963	2456	91
964	2459	89
965	2461	86
966	2464	84
967	2466	81
968	2469	78
969	2471	76
970	2474	73
971	2476	71
972	2479	68
973	2481	66
974	2484	63
975	2486	61
976	2489	58
977	2491	56
978	2494	53
979	2496	50
980	2498	48
981	2501	45
982	2503	43
983	2506	40
984	2508	38
985	2511	35
986	2513	33
987	2516	30
988	2518	28
989	2521	25
990	2523	22
991	2526	20
992	2528	17
993	2531	15
994	2533	12
995	2536	10
996	2538	7
997	2541	5
998	2543	2
999	2546	0
